source_key,title,author,date,isbn,loan_duration_days,total_copies,available_copies
/works/OL36100687W,Where the Wild Things Are,Jeremy Adams,1609459200,9798536442197,14,1,1
/works/OL8480193W,Charlotte's Web,Amanda Li,1136073600,9789867249845,14,1,1
/works/OL52987W,The Very Hungry Caterpillar,Eric Carle,-31536000,9780241003008,14,1,1
/works/OL30825221W,Goodnight Moon,Anne Siman,1609459200,9798723540385,14,1,1
/works/OL1898309W,The Cat in the Hat,Dr. Seuss,-410227200,9782266119184,14,1,1
/works/OL27378760W,The Adventures of Tom Sawyer,Mark Twain,1609459200,9789626340806,14,1,1
/works/OL15490465W,The adventures of Huckleberry Finn,Roland Mann,1230768000,9789380028354,14,1,1
/works/OL14942956W,The Call of the Wild,Jack London,31536000,9781433209581,14,1,1
/works/OL34456276W,Twenty Thousand Leagues under the Sea,le papillon bleu,1577836800,9798646850929,14,1,1
/works/OL26340422W,Around the World in Eighty Days,Michael Robert Bradie,1609459200,9789811233326,14,1,1
/works/OL52267W,The Time Machine,H. G. Wells,-2366755200,9798735146254,14,1,1
/works/OL35431712W,The War of the Worlds,H. G. Wells,-189388800,9798687318716,14,1,1
/works/OL3411044W,Dracula,"Leatherdale, Clive.",473385600,9781874287445,14,1,1
/works/OL34412196W,Frankenstein,Mary Shelley,1167609600,9798735084143,14,1,1
/works/OL28967062W,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1451606400,9781365272141,14,1,1
/works/OL3171069W,The Haunting of Hill House,Shirley Jackson,1199145600,9798518176904,14,1,1
/works/OL81633W,The Shining,Stephen King,220924800,9780816156856,14,1,1
/works/OL27495W,The Silmarillion,J.R.R. Tolkien,1420070400,9780812423020,14,1,1
/works/OL17419188W,The Hunger Games,Nicola Balkind,1388534400,9781783202041,14,1,1
/works/OL36525862W,The fault in our stars,Ke Ar Mira,1325376000,9789391234515,14,1,1
/works/OL46472W,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,1230768000,9780316015424,14,1,1
/works/OL875437W,The Perks of Being a Wallflower,Stephen Chbosky,915148800,9781471116179,14,1,1
/works/OL41495W,A Wrinkle in Time,Madeleine L'Engle,-252460800,9789651301766,14,1,1
/works/OL1846076W,The Giver,Lois Lowry,725846400,9789531968812,14,1,1
/works/OL2718328W,The Outsiders,S. E. Hinton,-94694400,9781484492222,14,1,1
/works/OL4321141W,The Secret History,Donna Tartt,1199145600,9789650713058,14,1,1
/works/OL1865528W,The Bell Jar,Sylvia Plath,725846400,9798847857741,14,1,1
/works/OL277730W,The Awakening,Lisa Jane Smith,1199145600,9788501086150,14,1,1
/works/OL35854114W,Middlemarch,George Eliot,1577836800,9798581217306,14,1,1
/works/OL19742136W,The trial,James Patterson,1467331200,9781786530257,14,1,1
